Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Both Sexes
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Thyroid","Age 25","Age <br/>35",0.135
"Thyroid","Age 25","Age <br/>40",0.234
"Thyroid","Age 25","Age <br/>45",0.341
"Thyroid","Age 25","Age <br/>50",0.456
"Thyroid","Age 25","Age <br/>55",0.577
"Thyroid","Age 25","Age <br/>60",0.698
"Thyroid","Age 25","Age <br/>65",0.817
"Thyroid","Age 25","Age <br/>70",0.935
"Thyroid","Age 25","Age <br/>75",1.033
"Thyroid","Age 25","Age <br/>80",1.108
"Thyroid","Age 25","Age <br/>85",1.153
"Thyroid","Age 25","Age <br/>90",1.175
"Thyroid","Age 25","Age <br/>95",1.183
"Thyroid","Age 25","Age <br/>95+",1.186
"Thyroid","Age 30","Age <br/>5",
"Thyroid","Age 30","Age <br/>10",
"Thyroid","Age 30","Age <br/>15",
"Thyroid","Age 30","Age <br/>20",
"Thyroid","Age 30","Age <br/>25",
"Thyroid","Age 30","Age <br/>30",
"Thyroid","Age 30","Age <br/>35",0.081
"Thyroid","Age 30","Age <br/>40",0.180
"Thyroid","Age 30","Age <br/>45",0.288
"Thyroid","Age 30","Age <br/>50",0.404
"Thyroid","Age 30","Age <br/>55",0.525
"Thyroid","Age 30","Age <br/>60",0.647
"Thyroid","Age 30","Age <br/>65",0.767
"Thyroid","Age 30","Age <br/>70",0.885
"Thyroid","Age 30","Age <br/>75",0.984
"Thyroid","Age 30","Age <br/>80",1.059
"Thyroid","Age 30","Age <br/>85",1.104
"Thyroid","Age 30","Age <br/>90",1.127
"Thyroid","Age 30","Age <br/>95",1.135
"Thyroid","Age 30","Age <br/>95+",1.138
"Thyroid","Age 35","Age <br/>5",
"Thyroid","Age 35","Age <br/>10",
"Thyroid","Age 35","Age <br/>15",
"Thyroid","Age 35","Age <br/>20",
"Thyroid","Age 35","Age <br/>25",
"Thyroid","Age 35","Age <br/>30",
"Thyroid","Age 35","Age <br/>35",
"Thyroid","Age 35","Age <br/>40",0.100
"Thyroid","Age 35","Age <br/>45",0.209
"Thyroid","Age 35","Age <br/>50",0.325
"Thyroid","Age 35","Age <br/>55",0.447
"Thyroid","Age 35","Age <br/>60",0.570
"Thyroid","Age 35","Age <br/>65",0.690
"Thyroid","Age 35","Age <br/>70",0.810
"Thyroid","Age 35","Age <br/>75",0.909
"Thyroid","Age 35","Age <br/>80",0.984
"Thyroid","Age 35","Age <br/>85",1.030
"Thyroid","Age 35","Age <br/>90",1.052
"Thyroid","Age 35","Age <br/>95",1.061
"Thyroid","Age 35","Age <br/>95+",1.064
"Thyroid","Age 40","Age <br/>5",
"Thyroid","Age 40","Age <br/>10",
"Thyroid","Age 40","Age <br/>15",
"Thyroid","Age 40","Age <br/>20",
"Thyroid","Age 40","Age <br/>25",
"Thyroid","Age 40","Age <br/>30",
"Thyroid","Age 40","Age <br/>35",
"Thyroid","Age 40","Age <br/>40",
"Thyroid","Age 40","Age <br/>45",0.110
"Thyroid","Age 40","Age <br/>50",0.227
"Thyroid","Age 40","Age <br/>55",0.350
"Thyroid","Age 40","Age <br/>60",0.474
"Thyroid","Age 40","Age <br/>65",0.595
"Thyroid","Age 40","Age <br/>70",0.715
"Thyroid","Age 40","Age <br/>75",0.815
"Thyroid","Age 40","Age <br/>80",0.891
"Thyroid","Age 40","Age <br/>85",0.937
"Thyroid","Age 40","Age <br/>90",0.960
"Thyroid","Age 40","Age <br/>95",0.969
"Thyroid","Age 40","Age <br/>95+",0.972
"Thyroid","Age 45","Age <br/>5",
"Thyroid","Age 45","Age <br/>10",
"Thyroid","Age 45","Age <br/>15",
"Thyroid","Age 45","Age <br/>20",
"Thyroid","Age 45","Age <br/>25",
"Thyroid","Age 45","Age <br/>30",
"Thyroid","Age 45","Age <br/>35",
"Thyroid","Age 45","Age <br/>40",
"Thyroid","Age 45","Age <br/>45",
"Thyroid","Age 45","Age <br/>50",0.118
"Thyroid","Age 45","Age <br/>55",0.243
"Thyroid","Age 45","Age <br/>60",0.368
"Thyroid","Age 45","Age <br/>65",0.491
"Thyroid","Age 45","Age <br/>70",0.612
"Thyroid","Age 45","Age <br/>75",0.713
"Thyroid","Age 45","Age <br/>80",0.790
"Thyroid","Age 45","Age <br/>85",0.836
"Thyroid","Age 45","Age <br/>90",0.860
"Thyroid","Age 45","Age <br/>95",0.868
"Thyroid","Age 45","Age <br/>95+",0.871
"Thyroid","Age 50","Age <br/>5",
"Thyroid","Age 50","Age <br/>10",
"Thyroid","Age 50","Age <br/>15",
"Thyroid","Age 50","Age <br/>20",
"Thyroid","Age 50","Age <br/>25",
"Thyroid","Age 50","Age <br/>30",
"Thyroid","Age 50","Age <br/>35",
"Thyroid","Age 50","Age <br/>40",
"Thyroid","Age 50","Age <br/>45",
"Thyroid","Age 50","Age <br/>50",
"Thyroid","Age 50","Age <br/>55",0.127
"Thyroid","Age 50","Age <br/>60",0.254
"Thyroid","Age 50","Age <br/>65",0.378
"Thyroid","Age 50","Age <br/>70",0.502
"Thyroid","Age 50","Age <br/>75",0.605
"Thyroid","Age 50","Age <br/>80",0.683
"Thyroid","Age 50","Age <br/>85",0.730
"Thyroid","Age 50","Age <br/>90",0.753
"Thyroid","Age 50","Age <br/>95",0.762
"Thyroid","Age 50","Age <br/>95+",0.765
"Thyroid","Age 55","Age <br/>5",
"Thyroid","Age 55","Age <br/>10",
"Thyroid","Age 55","Age <br/>15",
"Thyroid","Age 55","Age <br/>20",
"Thyroid","Age 55","Age <br/>25",
"Thyroid","Age 55","Age <br/>30",
"Thyroid","Age 55","Age <br/>35",
"Thyroid","Age 55","Age <br/>40",
"Thyroid","Age 55","Age <br/>45",
"Thyroid","Age 55","Age <br/>50",
"Thyroid","Age 55","Age <br/>55",
"Thyroid","Age 55","Age <br/>60",0.130
"Thyroid","Age 55","Age <br/>65",0.258
"Thyroid","Age 55","Age <br/>70",0.385
"Thyroid","Age 55","Age <br/>75",0.490
"Thyroid","Age 55","Age <br/>80",0.570
"Thyroid","Age 55","Age <br/>85",0.618
"Thyroid","Age 55","Age <br/>90",0.642
"Thyroid","Age 55","Age <br/>95",0.651
"Thyroid","Age 55","Age <br/>95+",0.655
"Thyroid","Age 60","Age <br/>5",
"Thyroid","Age 60","Age <br/>10",
"Thyroid","Age 60","Age <br/>15",
"Thyroid","Age 60","Age <br/>20",
"Thyroid","Age 60","Age <br/>25",
"Thyroid","Age 60","Age <br/>30",
"Thyroid","Age 60","Age <br/>35",
"Thyroid","Age 60","Age <br/>40",
"Thyroid","Age 60","Age <br/>45",
"Thyroid","Age 60","Age <br/>50",
"Thyroid","Age 60","Age <br/>55",
"Thyroid","Age 60","Age <br/>60",
"Thyroid","Age 60","Age <br/>65",0.132
"Thyroid","Age 60","Age <br/>70",0.264
"Thyroid","Age 60","Age <br/>75",0.373
"Thyroid","Age 60","Age <br/>80",0.456
"Thyroid","Age 60","Age <br/>85",0.506
"Thyroid","Age 60","Age <br/>90",0.531
"Thyroid","Age 60","Age <br/>95",0.540
"Thyroid","Age 60","Age <br/>95+",0.543
"Thyroid","Age 65","Age <br/>5",
"Thyroid","Age 65","Age <br/>10",
"Thyroid","Age 65","Age <br/>15",
"Thyroid","Age 65","Age <br/>20",
"Thyroid","Age 65","Age <br/>25",
"Thyroid","Age 65","Age <br/>30",
"Thyroid","Age 65","Age <br/>35",
"Thyroid","Age 65","Age <br/>40",
"Thyroid","Age 65","Age <br/>45",
"Thyroid","Age 65","Age <br/>50",
"Thyroid","Age 65","Age <br/>55",
"Thyroid","Age 65","Age <br/>60",
"Thyroid","Age 65","Age <br/>65",
"Thyroid","Age 65","Age <br/>70",0.138
"Thyroid","Age 65","Age <br/>75",0.253
"Thyroid","Age 65","Age <br/>80",0.340
"Thyroid","Age 65","Age <br/>85",0.393
"Thyroid","Age 65","Age <br/>90",0.419
"Thyroid","Age 65","Age <br/>95",0.429
"Thyroid","Age 65","Age <br/>95+",0.433
"Thyroid","Age 70","Age <br/>5",
"Thyroid","Age 70","Age <br/>10",
"Thyroid","Age 70","Age <br/>15",
"Thyroid","Age 70","Age <br/>20",
"Thyroid","Age 70","Age <br/>25",
"Thyroid","Age 70","Age <br/>30",
"Thyroid","Age 70","Age <br/>35",
"Thyroid","Age 70","Age <br/>40",
"Thyroid","Age 70","Age <br/>45",
"Thyroid","Age 70","Age <br/>50",
"Thyroid","Age 70","Age <br/>55",
"Thyroid","Age 70","Age <br/>60",
"Thyroid","Age 70","Age <br/>65",
"Thyroid","Age 70","Age <br/>70",
"Thyroid","Age 70","Age <br/>75",0.123
"Thyroid","Age 70","Age <br/>80",0.217
"Thyroid","Age 70","Age <br/>85",0.274
"Thyroid","Age 70","Age <br/>90",0.302
"Thyroid","Age 70","Age <br/>95",0.313
"Thyroid","Age 70","Age <br/>95+",0.317
"Thyroid","Age 75","Age <br/>5",
"Thyroid","Age 75","Age <br/>10",
"Thyroid","Age 75","Age <br/>15",
"Thyroid","Age 75","Age <br/>20",
"Thyroid","Age 75","Age <br/>25",
"Thyroid","Age 75","Age <br/>30",
"Thyroid","Age 75","Age <br/>35",
"Thyroid","Age 75","Age <br/>40",
"Thyroid","Age 75","Age <br/>45",
"Thyroid","Age 75","Age <br/>50",
"Thyroid","Age 75","Age <br/>55",
"Thyroid","Age 75","Age <br/>60",
"Thyroid","Age 75","Age <br/>65",
"Thyroid","Age 75","Age <br/>70",
"Thyroid","Age 75","Age <br/>75",
"Thyroid","Age 75","Age <br/>80",0.105
"Thyroid","Age 75","Age <br/>85",0.168
"Thyroid","Age 75","Age <br/>90",0.200
"Thyroid","Age 75","Age <br/>95",0.212
"Thyroid","Age 75","Age <br/>95+",0.216
"Thyroid","Age 80","Age <br/>5",
"Thyroid","Age 80","Age <br/>10",
"Thyroid","Age 80","Age <br/>15",
"Thyroid","Age 80","Age <br/>20",
"Thyroid","Age 80","Age <br/>25",
"Thyroid","Age 80","Age <br/>30",
"Thyroid","Age 80","Age <br/>35",
"Thyroid","Age 80","Age <br/>40",
"Thyroid","Age 80","Age <br/>45",
"Thyroid","Age 80","Age <br/>50",
"Thyroid","Age 80","Age <br/>55",
"Thyroid","Age 80","Age <br/>60",
"Thyroid","Age 80","Age <br/>65",
"Thyroid","Age 80","Age <br/>70",
"Thyroid","Age 80","Age <br/>75",
"Thyroid","Age 80","Age <br/>80",
"Thyroid","Age 80","Age <br/>85",0.076
"Thyroid","Age 80","Age <br/>90",0.113
"Thyroid","Age 80","Age <br/>95",0.127
"Thyroid","Age 80","Age <br/>95+",0.133
"Thyroid","Age 85","Age <br/>5",
"Thyroid","Age 85","Age <br/>10",
"Thyroid","Age 85","Age <br/>15",
"Thyroid","Age 85","Age <br/>20",
"Thyroid","Age 85","Age <br/>25",
"Thyroid","Age 85","Age <br/>30",
"Thyroid","Age 85","Age <br/>35",
"Thyroid","Age 85","Age <br/>40",
"Thyroid","Age 85","Age <br/>45",
"Thyroid","Age 85","Age <br/>50",
"Thyroid","Age 85","Age <br/>55",
"Thyroid","Age 85","Age <br/>60",
"Thyroid","Age 85","Age <br/>65",
"Thyroid","Age 85","Age <br/>70",
"Thyroid","Age 85","Age <br/>75",
"Thyroid","Age 85","Age <br/>80",
"Thyroid","Age 85","Age <br/>85",
"Thyroid","Age 85","Age <br/>90",0.051
"Thyroid","Age 85","Age <br/>95",0.070
"Thyroid","Age 85","Age <br/>95+",0.077
"Thyroid","Age 90","Age <br/>5",
"Thyroid","Age 90","Age <br/>10",
"Thyroid","Age 90","Age <br/>15",
"Thyroid","Age 90","Age <br/>20",
"Thyroid","Age 90","Age <br/>25",
"Thyroid","Age 90","Age <br/>30",
"Thyroid","Age 90","Age <br/>35",
"Thyroid","Age 90","Age <br/>40",
"Thyroid","Age 90","Age <br/>45",
"Thyroid","Age 90","Age <br/>50",
"Thyroid","Age 90","Age <br/>55",
"Thyroid","Age 90","Age <br/>60",
"Thyroid","Age 90","Age <br/>65",
"Thyroid","Age 90","Age <br/>70",
"Thyroid","Age 90","Age <br/>75",
"Thyroid","Age 90","Age <br/>80",
"Thyroid","Age 90","Age <br/>85",
"Thyroid","Age 90","Age <br/>90",
"Thyroid","Age 90","Age <br/>95",0.032
"Thyroid","Age 90","Age <br/>95+",0.043
"Thyroid","Age 95","Age <br/>5",
"Thyroid","Age 95","Age <br/>10",
"Thyroid","Age 95","Age <br/>15",
"Thyroid","Age 95","Age <br/>20",
"Thyroid","Age 95","Age <br/>25",
"Thyroid","Age 95","Age <br/>30",
"Thyroid","Age 95","Age <br/>35",
"Thyroid","Age 95","Age <br/>40",
"Thyroid","Age 95","Age <br/>45",
"Thyroid","Age 95","Age <br/>50",
"Thyroid","Age 95","Age <br/>55",
"Thyroid","Age 95","Age <br/>60",
"Thyroid","Age 95","Age <br/>65",
"Thyroid","Age 95","Age <br/>70",
"Thyroid","Age 95","Age <br/>75",
"Thyroid","Age 95","Age <br/>80",
"Thyroid","Age 95","Age <br/>85",
"Thyroid","Age 95","Age <br/>90",
"Thyroid","Age 95","Age <br/>95",
"Thyroid","Age 95","Age <br/>95+",0.026
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>5",0.000
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>10",0.000
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>15",0.000
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>20",0.000
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>25",0.000
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>30",0.001
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>35",0.001
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>40",0.003
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>45",0.008
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>50",0.018
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>55",0.039
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>60",0.073
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>65",0.125
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>70",0.197
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>75",0.284
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>80",0.375
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>85",0.460
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>90",0.523
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>95",0.556
"Chronic Lymphocytic Leukemia","Age 0","Age <br/>95+",0.570
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>10",0.000
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>15",0.000
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>20",0.000
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>25",0.000
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>30",0.001
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>35",0.001
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>40",0.003
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>45",0.008
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>50",0.018
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>55",0.039
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>60",0.074
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>65",0.127
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>70",0.199
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>75",0.287
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>80",0.379
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>85",0.465
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>90",0.528
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>95",0.562
"Chronic Lymphocytic Leukemia","Age 5","Age <br/>95+",0.575
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>15",0.000
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>20",0.000
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>25",0.000
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>30",0.000
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>35",0.001
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>40",0.003
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>45",0.008
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>50",0.018
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>55",0.039
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>60",0.074
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>65",0.127
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>70",0.199
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>75",0.287
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>80",0.379
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>85",0.465
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>90",0.529
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>95",0.562
"Chronic Lymphocytic Leukemia","Age 10","Age <br/>95+",0.576
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>20",0.000
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>25",0.000
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>30",0.000
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>35",0.001
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>40",0.003
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>45",0.008
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>50",0.018
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>55",0.039
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>60",0.074
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>65",0.127
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>70",0.200
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>75",0.287
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>80",0.379
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>85",0.466
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>90",0.529
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>95",0.563
"Chronic Lymphocytic Leukemia","Age 15","Age <br/>95+",0.576
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>25",0.000
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>30",0.000
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>35",0.001
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>40",0.003
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>45",0.008
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>50",0.018
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>55",0.039
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>60",0.074
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>65",0.127
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>70",0.200
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>75",0.288
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>80",0.380
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>85",0.467
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>90",0.530
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>95",0.564
"Chronic Lymphocytic Leukemia","Age 20","Age <br/>95+",0.577
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>30",0.000
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>35",0.001
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>40",0.003
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>45",0.008
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>50",0.018
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>55",0.039
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>60",0.074
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>65",0.127
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>70",0.201
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>75",0.289
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>80",0.381
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>85",0.468
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>90",0.532
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>95",0.566
"Chronic Lymphocytic Leukemia","Age 25","Age <br/>95+",0.580
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>35",0.001
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>40",0.003
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>45",0.007
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>50",0.018
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>55",0.039
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>60",0.074
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>65",0.128
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>70",0.201
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>75",0.290
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>80",0.383
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>85",0.470
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>90",0.534
