Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Female
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Ovary","Age 20","Age <br/>45",0.107
"Ovary","Age 20","Age <br/>50",0.173
"Ovary","Age 20","Age <br/>55",0.267
"Ovary","Age 20","Age <br/>60",0.379
"Ovary","Age 20","Age <br/>65",0.511
"Ovary","Age 20","Age <br/>70",0.660
"Ovary","Age 20","Age <br/>75",0.818
"Ovary","Age 20","Age <br/>80",0.973
"Ovary","Age 20","Age <br/>85",1.110
"Ovary","Age 20","Age <br/>90",1.207
"Ovary","Age 20","Age <br/>95",1.251
"Ovary","Age 20","Age <br/>95+",1.269
"Ovary","Age 25","Age <br/>5",
"Ovary","Age 25","Age <br/>10",
"Ovary","Age 25","Age <br/>15",
"Ovary","Age 25","Age <br/>20",
"Ovary","Age 25","Age <br/>25",
"Ovary","Age 25","Age <br/>30",0.013
"Ovary","Age 25","Age <br/>35",0.030
"Ovary","Age 25","Age <br/>40",0.054
"Ovary","Age 25","Age <br/>45",0.098
"Ovary","Age 25","Age <br/>50",0.164
"Ovary","Age 25","Age <br/>55",0.258
"Ovary","Age 25","Age <br/>60",0.370
"Ovary","Age 25","Age <br/>65",0.502
"Ovary","Age 25","Age <br/>70",0.652
"Ovary","Age 25","Age <br/>75",0.810
"Ovary","Age 25","Age <br/>80",0.965
"Ovary","Age 25","Age <br/>85",1.103
"Ovary","Age 25","Age <br/>90",1.200
"Ovary","Age 25","Age <br/>95",1.244
"Ovary","Age 25","Age <br/>95+",1.263
"Ovary","Age 30","Age <br/>5",
"Ovary","Age 30","Age <br/>10",
"Ovary","Age 30","Age <br/>15",
"Ovary","Age 30","Age <br/>20",
"Ovary","Age 30","Age <br/>25",
"Ovary","Age 30","Age <br/>30",
"Ovary","Age 30","Age <br/>35",0.017
"Ovary","Age 30","Age <br/>40",0.041
"Ovary","Age 30","Age <br/>45",0.085
"Ovary","Age 30","Age <br/>50",0.152
"Ovary","Age 30","Age <br/>55",0.246
"Ovary","Age 30","Age <br/>60",0.359
"Ovary","Age 30","Age <br/>65",0.491
"Ovary","Age 30","Age <br/>70",0.642
"Ovary","Age 30","Age <br/>75",0.800
"Ovary","Age 30","Age <br/>80",0.956
"Ovary","Age 30","Age <br/>85",1.094
"Ovary","Age 30","Age <br/>90",1.190
"Ovary","Age 30","Age <br/>95",1.235
"Ovary","Age 30","Age <br/>95+",1.254
"Ovary","Age 35","Age <br/>5",
"Ovary","Age 35","Age <br/>10",
"Ovary","Age 35","Age <br/>15",
"Ovary","Age 35","Age <br/>20",
"Ovary","Age 35","Age <br/>25",
"Ovary","Age 35","Age <br/>30",
"Ovary","Age 35","Age <br/>35",
"Ovary","Age 35","Age <br/>40",0.025
"Ovary","Age 35","Age <br/>45",0.068
"Ovary","Age 35","Age <br/>50",0.136
"Ovary","Age 35","Age <br/>55",0.230
"Ovary","Age 35","Age <br/>60",0.343
"Ovary","Age 35","Age <br/>65",0.476
"Ovary","Age 35","Age <br/>70",0.627
"Ovary","Age 35","Age <br/>75",0.786
"Ovary","Age 35","Age <br/>80",0.942
"Ovary","Age 35","Age <br/>85",1.081
"Ovary","Age 35","Age <br/>90",1.178
"Ovary","Age 35","Age <br/>95",1.222
"Ovary","Age 35","Age <br/>95+",1.241
"Ovary","Age 40","Age <br/>5",
"Ovary","Age 40","Age <br/>10",
"Ovary","Age 40","Age <br/>15",
"Ovary","Age 40","Age <br/>20",
"Ovary","Age 40","Age <br/>25",
"Ovary","Age 40","Age <br/>30",
"Ovary","Age 40","Age <br/>35",
"Ovary","Age 40","Age <br/>40",
"Ovary","Age 40","Age <br/>45",0.044
"Ovary","Age 40","Age <br/>50",0.112
"Ovary","Age 40","Age <br/>55",0.206
"Ovary","Age 40","Age <br/>60",0.320
"Ovary","Age 40","Age <br/>65",0.454
"Ovary","Age 40","Age <br/>70",0.606
"Ovary","Age 40","Age <br/>75",0.765
"Ovary","Age 40","Age <br/>80",0.922
"Ovary","Age 40","Age <br/>85",1.062
"Ovary","Age 40","Age <br/>90",1.159
"Ovary","Age 40","Age <br/>95",1.204
"Ovary","Age 40","Age <br/>95+",1.223
"Ovary","Age 45","Age <br/>5",
"Ovary","Age 45","Age <br/>10",
"Ovary","Age 45","Age <br/>15",
"Ovary","Age 45","Age <br/>20",
"Ovary","Age 45","Age <br/>25",
"Ovary","Age 45","Age <br/>30",
"Ovary","Age 45","Age <br/>35",
"Ovary","Age 45","Age <br/>40",
"Ovary","Age 45","Age <br/>45",
"Ovary","Age 45","Age <br/>50",0.068
"Ovary","Age 45","Age <br/>55",0.164
"Ovary","Age 45","Age <br/>60",0.278
"Ovary","Age 45","Age <br/>65",0.413
"Ovary","Age 45","Age <br/>70",0.566
"Ovary","Age 45","Age <br/>75",0.727
"Ovary","Age 45","Age <br/>80",0.885
"Ovary","Age 45","Age <br/>85",1.025
"Ovary","Age 45","Age <br/>90",1.124
"Ovary","Age 45","Age <br/>95",1.169
"Ovary","Age 45","Age <br/>95+",1.188
"Ovary","Age 50","Age <br/>5",
"Ovary","Age 50","Age <br/>10",
"Ovary","Age 50","Age <br/>15",
"Ovary","Age 50","Age <br/>20",
"Ovary","Age 50","Age <br/>25",
"Ovary","Age 50","Age <br/>30",
"Ovary","Age 50","Age <br/>35",
"Ovary","Age 50","Age <br/>40",
"Ovary","Age 50","Age <br/>45",
"Ovary","Age 50","Age <br/>50",
"Ovary","Age 50","Age <br/>55",0.097
"Ovary","Age 50","Age <br/>60",0.213
"Ovary","Age 50","Age <br/>65",0.349
"Ovary","Age 50","Age <br/>70",0.504
"Ovary","Age 50","Age <br/>75",0.666
"Ovary","Age 50","Age <br/>80",0.827
"Ovary","Age 50","Age <br/>85",0.969
"Ovary","Age 50","Age <br/>90",1.068
"Ovary","Age 50","Age <br/>95",1.114
"Ovary","Age 50","Age <br/>95+",1.133
"Ovary","Age 55","Age <br/>5",
"Ovary","Age 55","Age <br/>10",
"Ovary","Age 55","Age <br/>15",
"Ovary","Age 55","Age <br/>20",
"Ovary","Age 55","Age <br/>25",
"Ovary","Age 55","Age <br/>30",
"Ovary","Age 55","Age <br/>35",
"Ovary","Age 55","Age <br/>40",
"Ovary","Age 55","Age <br/>45",
"Ovary","Age 55","Age <br/>50",
"Ovary","Age 55","Age <br/>55",
"Ovary","Age 55","Age <br/>60",0.118
"Ovary","Age 55","Age <br/>65",0.257
"Ovary","Age 55","Age <br/>70",0.415
"Ovary","Age 55","Age <br/>75",0.580
"Ovary","Age 55","Age <br/>80",0.744
"Ovary","Age 55","Age <br/>85",0.888
"Ovary","Age 55","Age <br/>90",0.990
"Ovary","Age 55","Age <br/>95",1.036
"Ovary","Age 55","Age <br/>95+",1.056
"Ovary","Age 60","Age <br/>5",
"Ovary","Age 60","Age <br/>10",
"Ovary","Age 60","Age <br/>15",
"Ovary","Age 60","Age <br/>20",
"Ovary","Age 60","Age <br/>25",
"Ovary","Age 60","Age <br/>30",
"Ovary","Age 60","Age <br/>35",
"Ovary","Age 60","Age <br/>40",
"Ovary","Age 60","Age <br/>45",
"Ovary","Age 60","Age <br/>50",
"Ovary","Age 60","Age <br/>55",
"Ovary","Age 60","Age <br/>60",
"Ovary","Age 60","Age <br/>65",0.143
"Ovary","Age 60","Age <br/>70",0.305
"Ovary","Age 60","Age <br/>75",0.475
"Ovary","Age 60","Age <br/>80",0.642
"Ovary","Age 60","Age <br/>85",0.791
"Ovary","Age 60","Age <br/>90",0.895
"Ovary","Age 60","Age <br/>95",0.943
"Ovary","Age 60","Age <br/>95+",0.963
"Ovary","Age 65","Age <br/>5",
"Ovary","Age 65","Age <br/>10",
"Ovary","Age 65","Age <br/>15",
"Ovary","Age 65","Age <br/>20",
"Ovary","Age 65","Age <br/>25",
"Ovary","Age 65","Age <br/>30",
"Ovary","Age 65","Age <br/>35",
"Ovary","Age 65","Age <br/>40",
"Ovary","Age 65","Age <br/>45",
"Ovary","Age 65","Age <br/>50",
"Ovary","Age 65","Age <br/>55",
"Ovary","Age 65","Age <br/>60",
"Ovary","Age 65","Age <br/>65",
"Ovary","Age 65","Age <br/>70",0.168
"Ovary","Age 65","Age <br/>75",0.345
"Ovary","Age 65","Age <br/>80",0.519
"Ovary","Age 65","Age <br/>85",0.674
"Ovary","Age 65","Age <br/>90",0.782
"Ovary","Age 65","Age <br/>95",0.831
"Ovary","Age 65","Age <br/>95+",0.853
"Ovary","Age 70","Age <br/>5",
"Ovary","Age 70","Age <br/>10",
"Ovary","Age 70","Age <br/>15",
"Ovary","Age 70","Age <br/>20",
"Ovary","Age 70","Age <br/>25",
"Ovary","Age 70","Age <br/>30",
"Ovary","Age 70","Age <br/>35",
"Ovary","Age 70","Age <br/>40",
"Ovary","Age 70","Age <br/>45",
"Ovary","Age 70","Age <br/>50",
"Ovary","Age 70","Age <br/>55",
"Ovary","Age 70","Age <br/>60",
"Ovary","Age 70","Age <br/>65",
"Ovary","Age 70","Age <br/>70",
"Ovary","Age 70","Age <br/>75",0.187
"Ovary","Age 70","Age <br/>80",0.372
"Ovary","Age 70","Age <br/>85",0.535
"Ovary","Age 70","Age <br/>90",0.650
"Ovary","Age 70","Age <br/>95",0.702
"Ovary","Age 70","Age <br/>95+",0.725
"Ovary","Age 75","Age <br/>5",
"Ovary","Age 75","Age <br/>10",
"Ovary","Age 75","Age <br/>15",
"Ovary","Age 75","Age <br/>20",
"Ovary","Age 75","Age <br/>25",
"Ovary","Age 75","Age <br/>30",
"Ovary","Age 75","Age <br/>35",
"Ovary","Age 75","Age <br/>40",
"Ovary","Age 75","Age <br/>45",
"Ovary","Age 75","Age <br/>50",
"Ovary","Age 75","Age <br/>55",
"Ovary","Age 75","Age <br/>60",
"Ovary","Age 75","Age <br/>65",
"Ovary","Age 75","Age <br/>70",
"Ovary","Age 75","Age <br/>75",
"Ovary","Age 75","Age <br/>80",0.202
"Ovary","Age 75","Age <br/>85",0.381
"Ovary","Age 75","Age <br/>90",0.507
"Ovary","Age 75","Age <br/>95",0.564
"Ovary","Age 75","Age <br/>95+",0.589
"Ovary","Age 80","Age <br/>5",
"Ovary","Age 80","Age <br/>10",
"Ovary","Age 80","Age <br/>15",
"Ovary","Age 80","Age <br/>20",
"Ovary","Age 80","Age <br/>25",
"Ovary","Age 80","Age <br/>30",
"Ovary","Age 80","Age <br/>35",
"Ovary","Age 80","Age <br/>40",
"Ovary","Age 80","Age <br/>45",
"Ovary","Age 80","Age <br/>50",
"Ovary","Age 80","Age <br/>55",
"Ovary","Age 80","Age <br/>60",
"Ovary","Age 80","Age <br/>65",
"Ovary","Age 80","Age <br/>70",
"Ovary","Age 80","Age <br/>75",
"Ovary","Age 80","Age <br/>80",
"Ovary","Age 80","Age <br/>85",0.209
"Ovary","Age 80","Age <br/>90",0.355
"Ovary","Age 80","Age <br/>95",0.421
"Ovary","Age 80","Age <br/>95+",0.450
"Ovary","Age 85","Age <br/>5",
"Ovary","Age 85","Age <br/>10",
"Ovary","Age 85","Age <br/>15",
"Ovary","Age 85","Age <br/>20",
"Ovary","Age 85","Age <br/>25",
"Ovary","Age 85","Age <br/>30",
"Ovary","Age 85","Age <br/>35",
"Ovary","Age 85","Age <br/>40",
"Ovary","Age 85","Age <br/>45",
"Ovary","Age 85","Age <br/>50",
"Ovary","Age 85","Age <br/>55",
"Ovary","Age 85","Age <br/>60",
"Ovary","Age 85","Age <br/>65",
"Ovary","Age 85","Age <br/>70",
"Ovary","Age 85","Age <br/>75",
"Ovary","Age 85","Age <br/>80",
"Ovary","Age 85","Age <br/>85",
"Ovary","Age 85","Age <br/>90",0.189
"Ovary","Age 85","Age <br/>95",0.276
"Ovary","Age 85","Age <br/>95+",0.313
"Ovary","Age 90","Age <br/>5",
"Ovary","Age 90","Age <br/>10",
"Ovary","Age 90","Age <br/>15",
"Ovary","Age 90","Age <br/>20",
"Ovary","Age 90","Age <br/>25",
"Ovary","Age 90","Age <br/>30",
"Ovary","Age 90","Age <br/>35",
"Ovary","Age 90","Age <br/>40",
"Ovary","Age 90","Age <br/>45",
"Ovary","Age 90","Age <br/>50",
"Ovary","Age 90","Age <br/>55",
"Ovary","Age 90","Age <br/>60",
"Ovary","Age 90","Age <br/>65",
"Ovary","Age 90","Age <br/>70",
"Ovary","Age 90","Age <br/>75",
"Ovary","Age 90","Age <br/>80",
"Ovary","Age 90","Age <br/>85",
"Ovary","Age 90","Age <br/>90",
"Ovary","Age 90","Age <br/>95",0.138
"Ovary","Age 90","Age <br/>95+",0.196
"Ovary","Age 95","Age <br/>5",
"Ovary","Age 95","Age <br/>10",
"Ovary","Age 95","Age <br/>15",
"Ovary","Age 95","Age <br/>20",
"Ovary","Age 95","Age <br/>25",
"Ovary","Age 95","Age <br/>30",
"Ovary","Age 95","Age <br/>35",
"Ovary","Age 95","Age <br/>40",
"Ovary","Age 95","Age <br/>45",
"Ovary","Age 95","Age <br/>50",
"Ovary","Age 95","Age <br/>55",
"Ovary","Age 95","Age <br/>60",
"Ovary","Age 95","Age <br/>65",
"Ovary","Age 95","Age <br/>70",
"Ovary","Age 95","Age <br/>75",
"Ovary","Age 95","Age <br/>80",
"Ovary","Age 95","Age <br/>85",
"Ovary","Age 95","Age <br/>90",
"Ovary","Age 95","Age <br/>95",
"Ovary","Age 95","Age <br/>95+",0.128
"Female Breast","Age 0","Age <br/>5",0.000
"Female Breast","Age 0","Age <br/>10",0.000
"Female Breast","Age 0","Age <br/>15",0.000
"Female Breast","Age 0","Age <br/>20",0.002
"Female Breast","Age 0","Age <br/>25",0.014
"Female Breast","Age 0","Age <br/>30",0.066
"Female Breast","Age 0","Age <br/>35",0.208
"Female Breast","Age 0","Age <br/>40",0.518
"Female Breast","Age 0","Age <br/>45",1.105
"Female Breast","Age 0","Age <br/>50",1.964
"Female Breast","Age 0","Age <br/>55",2.989
"Female Breast","Age 0","Age <br/>60",4.152
"Female Breast","Age 0","Age <br/>65",5.566
"Female Breast","Age 0","Age <br/>70",7.213
"Female Breast","Age 0","Age <br/>75",8.863
"Female Breast","Age 0","Age <br/>80",10.283
"Female Breast","Age 0","Age <br/>85",11.342
"Female Breast","Age 0","Age <br/>90",12.008
"Female Breast","Age 0","Age <br/>95",12.309
"Female Breast","Age 0","Age <br/>95+",12.439
"Female Breast","Age 5","Age <br/>5",
"Female Breast","Age 5","Age <br/>10",0.000
"Female Breast","Age 5","Age <br/>15",0.000
"Female Breast","Age 5","Age <br/>20",0.002
"Female Breast","Age 5","Age <br/>25",0.014
"Female Breast","Age 5","Age <br/>30",0.066
"Female Breast","Age 5","Age <br/>35",0.209
"Female Breast","Age 5","Age <br/>40",0.523
"Female Breast","Age 5","Age <br/>45",1.116
"Female Breast","Age 5","Age <br/>50",1.982
"Female Breast","Age 5","Age <br/>55",3.017
"Female Breast","Age 5","Age <br/>60",4.191
"Female Breast","Age 5","Age <br/>65",5.618
"Female Breast","Age 5","Age <br/>70",7.279
"Female Breast","Age 5","Age <br/>75",8.946
"Female Breast","Age 5","Age <br/>80",10.378
"Female Breast","Age 5","Age <br/>85",11.447
"Female Breast","Age 5","Age <br/>90",12.119
"Female Breast","Age 5","Age <br/>95",12.423
"Female Breast","Age 5","Age <br/>95+",12.555
"Female Breast","Age 10","Age <br/>5",
"Female Breast","Age 10","Age <br/>10",
"Female Breast","Age 10","Age <br/>15",0.000
"Female Breast","Age 10","Age <br/>20",0.002
"Female Breast","Age 10","Age <br/>25",0.014
"Female Breast","Age 10","Age <br/>30",0.066
"Female Breast","Age 10","Age <br/>35",0.210
"Female Breast","Age 10","Age <br/>40",0.523
"Female Breast","Age 10","Age <br/>45",1.116
"Female Breast","Age 10","Age <br/>50",1.983
"Female Breast","Age 10","Age <br/>55",3.019
"Female Breast","Age 10","Age <br/>60",4.193
"Female Breast","Age 10","Age <br/>65",5.621
"Female Breast","Age 10","Age <br/>70",7.283
"Female Breast","Age 10","Age <br/>75",8.950
"Female Breast","Age 10","Age <br/>80",10.384
"Female Breast","Age 10","Age <br/>85",11.454
"Female Breast","Age 10","Age <br/>90",12.126
"Female Breast","Age 10","Age <br/>95",12.430
"Female Breast","Age 10","Age <br/>95+",12.562
"Female Breast","Age 15","Age <br/>5",
"Female Breast","Age 15","Age <br/>10",
"Female Breast","Age 15","Age <br/>15",
"Female Breast","Age 15","Age <br/>20",0.001
"Female Breast","Age 15","Age <br/>25",0.014
"Female Breast","Age 15","Age <br/>30",0.066
"Female Breast","Age 15","Age <br/>35",0.210
"Female Breast","Age 15","Age <br/>40",0.524
"Female Breast","Age 15","Age <br/>45",1.117
"Female Breast","Age 15","Age <br/>50",1.984
"Female Breast","Age 15","Age <br/>55",3.020
"Female Breast","Age 15","Age <br/>60",4.196
"Female Breast","Age 15","Age <br/>65",5.624
"Female Breast","Age 15","Age <br/>70",7.288
"Female Breast","Age 15","Age <br/>75",8.956
"Female Breast","Age 15","Age <br/>80",10.390
"Female Breast","Age 15","Age <br/>85",11.461
"Female Breast","Age 15","Age <br/>90",12.134
"Female Breast","Age 15","Age <br/>95",12.438
"Female Breast","Age 15","Age <br/>95+",12.570
"Female Breast","Age 20","Age <br/>5",
"Female Breast","Age 20","Age <br/>10",
"Female Breast","Age 20","Age <br/>15",
"Female Breast","Age 20","Age <br/>20",
"Female Breast","Age 20","Age <br/>25",0.012
"Female Breast","Age 20","Age <br/>30",0.065
"Female Breast","Age 20","Age <br/>35",0.208
"Female Breast","Age 20","Age <br/>40",0.523
"Female Breast","Age 20","Age <br/>45",1.117
"Female Breast","Age 20","Age <br/>50",1.985
"Female Breast","Age 20","Age <br/>55",3.023
"Female Breast","Age 20","Age <br/>60",4.200
"Female Breast","Age 20","Age <br/>65",5.630
"Female Breast","Age 20","Age <br/>70",7.296
"Female Breast","Age 20","Age <br/>75",8.966
"Female Breast","Age 20","Age <br/>80",10.402
"Female Breast","Age 20","Age <br/>85",11.474
"Female Breast","Age 20","Age <br/>90",12.148
"Female Breast","Age 20","Age <br/>95",12.453
"Female Breast","Age 20","Age <br/>95+",12.584
"Female Breast","Age 25","Age <br/>5",
"Female Breast","Age 25","Age <br/>10",
"Female Breast","Age 25","Age <br/>15",
"Female Breast","Age 25","Age <br/>20",
"Female Breast","Age 25","Age <br/>25",
"Female Breast","Age 25","Age <br/>30",0.053
"Female Breast","Age 25","Age <br/>35",0.197
"Female Breast","Age 25","Age <br/>40",0.512
"Female Breast","Age 25","Age <br/>45",1.107
"Female Breast","Age 25","Age <br/>50",1.977
"Female Breast","Age 25","Age <br/>55",3.017
"Female Breast","Age 25","Age <br/>60",4.197
"Female Breast","Age 25","Age <br/>65",5.630
"Female Breast","Age 25","Age <br/>70",7.299
"Female Breast","Age 25","Age <br/>75",8.973
"Female Breast","Age 25","Age <br/>80",10.412
"Female Breast","Age 25","Age <br/>85",11.487
"Female Breast","Age 25","Age <br/>90",12.162
"Female Breast","Age 25","Age <br/>95",12.467
"Female Breast","Age 25","Age <br/>95+",12.599
"Female Breast","Age 30","Age <br/>5",
"Female Breast","Age 30","Age <br/>10",
"Female Breast","Age 30","Age <br/>15",
"Female Breast","Age 30","Age <br/>20",
"Female Breast","Age 30","Age <br/>25",
"Female Breast","Age 30","Age <br/>30",
"Female Breast","Age 30","Age <br/>35",0.144
"Female Breast","Age 30","Age <br/>40",0.460
"Female Breast","Age 30","Age <br/>45",1.057
"Female Breast","Age 30","Age <br/>50",1.931
"Female Breast","Age 30","Age <br/>55",2.974
"Female Breast","Age 30","Age <br/>60",4.157
"Female Breast","Age 30","Age <br/>65",5.595
"Female Breast","Age 30","Age <br/>70",7.270
"Female Breast","Age 30","Age <br/>75",8.949
"Female Breast","Age 30","Age <br/>80",10.393
"Female Breast","Age 30","Age <br/>85",11.470
"Female Breast","Age 30","Age <br/>90",12.148
"Female Breast","Age 30","Age <br/>95",12.454
"Female Breast","Age 30","Age <br/>95+",12.586
"Female Breast","Age 35","Age <br/>5",
"Female Breast","Age 35","Age <br/>10",
"Female Breast","Age 35","Age <br/>15",
"Female Breast","Age 35","Age <br/>20",
"Female Breast","Age 35","Age <br/>25",
"Female Breast","Age 35","Age <br/>30",
"Female Breast","Age 35","Age <br/>35",
"Female Breast","Age 35","Age <br/>40",0.318
"Female Breast","Age 35","Age <br/>45",0.918
"Female Breast","Age 35","Age <br/>50",1.795
"Female Breast","Age 35","Age <br/>55",2.843
"Female Breast","Age 35","Age <br/>60",4.032
"Female Breast","Age 35","Age <br/>65",5.478
"Female Breast","Age 35","Age <br/>70",7.160
"Female Breast","Age 35","Age <br/>75",8.848
"Female Breast","Age 35","Age <br/>80",10.299
"Female Breast","Age 35","Age <br/>85",11.382
"Female Breast","Age 35","Age <br/>90",12.062
"Female Breast","Age 35","Age <br/>95",12.370
"Female Breast","Age 35","Age <br/>95+",12.503
"Female Breast","Age 40","Age <br/>5",
"Female Breast","Age 40","Age <br/>10",
"Female Breast","Age 40","Age <br/>15",
"Female Breast","Age 40","Age <br/>20",
"Female Breast","Age 40","Age <br/>25",
"Female Breast","Age 40","Age <br/>30",
"Female Breast","Age 40","Age <br/>35",
"Female Breast","Age 40","Age <br/>40",
"Female Breast","Age 40","Age <br/>45",0.605
"Female Breast","Age 40","Age <br/>50",1.489
"Female Breast","Age 40","Age <br/>55",2.546
"Female Breast","Age 40","Age <br/>60",3.744
"Female Breast","Age 40","Age <br/>65",5.200
"Female Breast","Age 40","Age <br/>70",6.897
"Female Breast","Age 40","Age <br/>75",8.597
"Female Breast","Age 40","Age <br/>80",10.059
"Female Breast","Age 40","Age <br/>85",11.151
"Female Breast","Age 40","Age <br/>90",11.837
"Female Breast","Age 40","Age <br/>95",12.147
"Female Breast","Age 40","Age <br/>95+",12.281
"Female Breast","Age 45","Age <br/>5",
"Female Breast","Age 45","Age <br/>10",
"Female Breast","Age 45","Age <br/>15",
"Female Breast","Age 45","Age <br/>20",
"Female Breast","Age 45","Age <br/>25",
"Female Breast","Age 45","Age <br/>30",
"Female Breast","Age 45","Age <br/>35",
"Female Breast","Age 45","Age <br/>40",
"Female Breast","Age 45","Age <br/>45",
"Female Breast","Age 45","Age <br/>50",0.896
"Female Breast","Age 45","Age <br/>55",1.966
"Female Breast","Age 45","Age <br/>60",3.180
"Female Breast","Age 45","Age <br/>65",4.655
"Female Breast","Age 45","Age <br/>70",6.373
"Female Breast","Age 45","Age <br/>75",8.096
"Female Breast","Age 45","Age <br/>80",9.577
"Female Breast","Age 45","Age <br/>85",10.682
"Female Breast","Age 45","Age <br/>90",11.377
"Female Breast","Age 45","Age <br/>95",11.691
"Female Breast","Age 45","Age <br/>95+",11.827
"Female Breast","Age 50","Age <br/>5",
"Female Breast","Age 50","Age <br/>10",
"Female Breast","Age 50","Age <br/>15",
"Female Breast","Age 50","Age <br/>20",
"Female Breast","Age 50","Age <br/>25",
"Female Breast","Age 50","Age <br/>30",
"Female Breast","Age 50","Age <br/>35",
"Female Breast","Age 50","Age <br/>40",
"Female Breast","Age 50","Age <br/>45",
"Female Breast","Age 50","Age <br/>50",
"Female Breast","Age 50","Age <br/>55",1.091
"Female Breast","Age 50","Age <br/>60",2.329
"Female Breast","Age 50","Age <br/>65",3.833
"Female Breast","Age 50","Age <br/>70",5.585
"Female Breast","Age 50","Age <br/>75",7.342
"Female Breast","Age 50","Age <br/>80",8.852
"Female Breast","Age 50","Age <br/>85",9.979
"Female Breast","Age 50","Age <br/>90",10.688
"Female Breast","Age 50","Age <br/>95",11.008
"Female Breast","Age 50","Age <br/>95+",11.147
"Female Breast","Age 55","Age <br/>5",
"Female Breast","Age 55","Age <br/>10",
"Female Breast","Age 55","Age <br/>15",
