Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Both Sexes
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Esophagus","Age 25","Age <br/>20",
"Esophagus","Age 25","Age <br/>25",
"Esophagus","Age 25","Age <br/>30",0.000
"Esophagus","Age 25","Age <br/>35",0.001
"Esophagus","Age 25","Age <br/>40",0.004
"Esophagus","Age 25","Age <br/>45",0.008
"Esophagus","Age 25","Age <br/>50",0.020
"Esophagus","Age 25","Age <br/>55",0.041
"Esophagus","Age 25","Age <br/>60",0.079
"Esophagus","Age 25","Age <br/>65",0.135
"Esophagus","Age 25","Age <br/>70",0.206
"Esophagus","Age 25","Age <br/>75",0.284
"Esophagus","Age 25","Age <br/>80",0.360
"Esophagus","Age 25","Age <br/>85",0.424
"Esophagus","Age 25","Age <br/>90",0.464
"Esophagus","Age 25","Age <br/>95",0.482
"Esophagus","Age 25","Age <br/>95+",0.488
"Esophagus","Age 30","Age <br/>5",
"Esophagus","Age 30","Age <br/>10",
"Esophagus","Age 30","Age <br/>15",
"Esophagus","Age 30","Age <br/>20",
"Esophagus","Age 30","Age <br/>25",
"Esophagus","Age 30","Age <br/>30",
"Esophagus","Age 30","Age <br/>35",0.001
"Esophagus","Age 30","Age <br/>40",0.003
"Esophagus","Age 30","Age <br/>45",0.008
"Esophagus","Age 30","Age <br/>50",0.019
"Esophagus","Age 30","Age <br/>55",0.041
"Esophagus","Age 30","Age <br/>60",0.079
"Esophagus","Age 30","Age <br/>65",0.135
"Esophagus","Age 30","Age <br/>70",0.206
"Esophagus","Age 30","Age <br/>75",0.285
"Esophagus","Age 30","Age <br/>80",0.361
"Esophagus","Age 30","Age <br/>85",0.425
"Esophagus","Age 30","Age <br/>90",0.466
"Esophagus","Age 30","Age <br/>95",0.484
"Esophagus","Age 30","Age <br/>95+",0.490
"Esophagus","Age 35","Age <br/>5",
"Esophagus","Age 35","Age <br/>10",
"Esophagus","Age 35","Age <br/>15",
"Esophagus","Age 35","Age <br/>20",
"Esophagus","Age 35","Age <br/>25",
"Esophagus","Age 35","Age <br/>30",
"Esophagus","Age 35","Age <br/>35",
"Esophagus","Age 35","Age <br/>40",0.002
"Esophagus","Age 35","Age <br/>45",0.007
"Esophagus","Age 35","Age <br/>50",0.019
"Esophagus","Age 35","Age <br/>55",0.040
"Esophagus","Age 35","Age <br/>60",0.079
"Esophagus","Age 35","Age <br/>65",0.135
"Esophagus","Age 35","Age <br/>70",0.206
"Esophagus","Age 35","Age <br/>75",0.285
"Esophagus","Age 35","Age <br/>80",0.362
"Esophagus","Age 35","Age <br/>85",0.427
"Esophagus","Age 35","Age <br/>90",0.468
"Esophagus","Age 35","Age <br/>95",0.486
"Esophagus","Age 35","Age <br/>95+",0.492
"Esophagus","Age 40","Age <br/>5",
"Esophagus","Age 40","Age <br/>10",
"Esophagus","Age 40","Age <br/>15",
"Esophagus","Age 40","Age <br/>20",
"Esophagus","Age 40","Age <br/>25",
"Esophagus","Age 40","Age <br/>30",
"Esophagus","Age 40","Age <br/>35",
"Esophagus","Age 40","Age <br/>40",
"Esophagus","Age 40","Age <br/>45",0.005
"Esophagus","Age 40","Age <br/>50",0.016
"Esophagus","Age 40","Age <br/>55",0.038
"Esophagus","Age 40","Age <br/>60",0.077
"Esophagus","Age 40","Age <br/>65",0.134
"Esophagus","Age 40","Age <br/>70",0.206
"Esophagus","Age 40","Age <br/>75",0.285
"Esophagus","Age 40","Age <br/>80",0.362
"Esophagus","Age 40","Age <br/>85",0.428
"Esophagus","Age 40","Age <br/>90",0.469
"Esophagus","Age 40","Age <br/>95",0.487
"Esophagus","Age 40","Age <br/>95+",0.493
"Esophagus","Age 45","Age <br/>5",
"Esophagus","Age 45","Age <br/>10",
"Esophagus","Age 45","Age <br/>15",
"Esophagus","Age 45","Age <br/>20",
"Esophagus","Age 45","Age <br/>25",
"Esophagus","Age 45","Age <br/>30",
"Esophagus","Age 45","Age <br/>35",
"Esophagus","Age 45","Age <br/>40",
"Esophagus","Age 45","Age <br/>45",
"Esophagus","Age 45","Age <br/>50",0.012
"Esophagus","Age 45","Age <br/>55",0.034
"Esophagus","Age 45","Age <br/>60",0.073
"Esophagus","Age 45","Age <br/>65",0.130
"Esophagus","Age 45","Age <br/>70",0.203
"Esophagus","Age 45","Age <br/>75",0.283
"Esophagus","Age 45","Age <br/>80",0.361
"Esophagus","Age 45","Age <br/>85",0.427
"Esophagus","Age 45","Age <br/>90",0.469
"Esophagus","Age 45","Age <br/>95",0.487
"Esophagus","Age 45","Age <br/>95+",0.493
"Esophagus","Age 50","Age <br/>5",
"Esophagus","Age 50","Age <br/>10",
"Esophagus","Age 50","Age <br/>15",
"Esophagus","Age 50","Age <br/>20",
"Esophagus","Age 50","Age <br/>25",
"Esophagus","Age 50","Age <br/>30",
"Esophagus","Age 50","Age <br/>35",
"Esophagus","Age 50","Age <br/>40",
"Esophagus","Age 50","Age <br/>45",
"Esophagus","Age 50","Age <br/>50",
"Esophagus","Age 50","Age <br/>55",0.023
"Esophagus","Age 50","Age <br/>60",0.062
"Esophagus","Age 50","Age <br/>65",0.120
"Esophagus","Age 50","Age <br/>70",0.194
"Esophagus","Age 50","Age <br/>75",0.276
"Esophagus","Age 50","Age <br/>80",0.355
"Esophagus","Age 50","Age <br/>85",0.422
"Esophagus","Age 50","Age <br/>90",0.464
"Esophagus","Age 50","Age <br/>95",0.482
"Esophagus","Age 50","Age <br/>95+",0.489
"Esophagus","Age 55","Age <br/>5",
"Esophagus","Age 55","Age <br/>10",
"Esophagus","Age 55","Age <br/>15",
"Esophagus","Age 55","Age <br/>20",
"Esophagus","Age 55","Age <br/>25",
"Esophagus","Age 55","Age <br/>30",
"Esophagus","Age 55","Age <br/>35",
"Esophagus","Age 55","Age <br/>40",
"Esophagus","Age 55","Age <br/>45",
"Esophagus","Age 55","Age <br/>50",
"Esophagus","Age 55","Age <br/>55",
"Esophagus","Age 55","Age <br/>60",0.041
"Esophagus","Age 55","Age <br/>65",0.100
"Esophagus","Age 55","Age <br/>70",0.175
"Esophagus","Age 55","Age <br/>75",0.259
"Esophagus","Age 55","Age <br/>80",0.340
"Esophagus","Age 55","Age <br/>85",0.408
"Esophagus","Age 55","Age <br/>90",0.452
"Esophagus","Age 55","Age <br/>95",0.471
"Esophagus","Age 55","Age <br/>95+",0.477
"Esophagus","Age 60","Age <br/>5",
"Esophagus","Age 60","Age <br/>10",
"Esophagus","Age 60","Age <br/>15",
"Esophagus","Age 60","Age <br/>20",
"Esophagus","Age 60","Age <br/>25",
"Esophagus","Age 60","Age <br/>30",
"Esophagus","Age 60","Age <br/>35",
"Esophagus","Age 60","Age <br/>40",
"Esophagus","Age 60","Age <br/>45",
"Esophagus","Age 60","Age <br/>50",
"Esophagus","Age 60","Age <br/>55",
"Esophagus","Age 60","Age <br/>60",
"Esophagus","Age 60","Age <br/>65",0.061
"Esophagus","Age 60","Age <br/>70",0.139
"Esophagus","Age 60","Age <br/>75",0.226
"Esophagus","Age 60","Age <br/>80",0.310
"Esophagus","Age 60","Age <br/>85",0.381
"Esophagus","Age 60","Age <br/>90",0.426
"Esophagus","Age 60","Age <br/>95",0.445
"Esophagus","Age 60","Age <br/>95+",0.452
"Esophagus","Age 65","Age <br/>5",
"Esophagus","Age 65","Age <br/>10",
"Esophagus","Age 65","Age <br/>15",
"Esophagus","Age 65","Age <br/>20",
"Esophagus","Age 65","Age <br/>25",
"Esophagus","Age 65","Age <br/>30",
"Esophagus","Age 65","Age <br/>35",
"Esophagus","Age 65","Age <br/>40",
"Esophagus","Age 65","Age <br/>45",
"Esophagus","Age 65","Age <br/>50",
"Esophagus","Age 65","Age <br/>55",
"Esophagus","Age 65","Age <br/>60",
"Esophagus","Age 65","Age <br/>65",
"Esophagus","Age 65","Age <br/>70",0.082
"Esophagus","Age 65","Age <br/>75",0.173
"Esophagus","Age 65","Age <br/>80",0.261
"Esophagus","Age 65","Age <br/>85",0.336
"Esophagus","Age 65","Age <br/>90",0.383
"Esophagus","Age 65","Age <br/>95",0.403
"Esophagus","Age 65","Age <br/>95+",0.411
"Esophagus","Age 70","Age <br/>5",
"Esophagus","Age 70","Age <br/>10",
"Esophagus","Age 70","Age <br/>15",
"Esophagus","Age 70","Age <br/>20",
"Esophagus","Age 70","Age <br/>25",
"Esophagus","Age 70","Age <br/>30",
"Esophagus","Age 70","Age <br/>35",
"Esophagus","Age 70","Age <br/>40",
"Esophagus","Age 70","Age <br/>45",
"Esophagus","Age 70","Age <br/>50",
"Esophagus","Age 70","Age <br/>55",
"Esophagus","Age 70","Age <br/>60",
"Esophagus","Age 70","Age <br/>65",
"Esophagus","Age 70","Age <br/>70",
"Esophagus","Age 70","Age <br/>75",0.098
"Esophagus","Age 70","Age <br/>80",0.192
"Esophagus","Age 70","Age <br/>85",0.272
"Esophagus","Age 70","Age <br/>90",0.323
"Esophagus","Age 70","Age <br/>95",0.345
"Esophagus","Age 70","Age <br/>95+",0.353
"Esophagus","Age 75","Age <br/>5",
"Esophagus","Age 75","Age <br/>10",
"Esophagus","Age 75","Age <br/>15",
"Esophagus","Age 75","Age <br/>20",
"Esophagus","Age 75","Age <br/>25",
"Esophagus","Age 75","Age <br/>30",
"Esophagus","Age 75","Age <br/>35",
"Esophagus","Age 75","Age <br/>40",
"Esophagus","Age 75","Age <br/>45",
"Esophagus","Age 75","Age <br/>50",
"Esophagus","Age 75","Age <br/>55",
"Esophagus","Age 75","Age <br/>60",
"Esophagus","Age 75","Age <br/>65",
"Esophagus","Age 75","Age <br/>70",
"Esophagus","Age 75","Age <br/>75",
"Esophagus","Age 75","Age <br/>80",0.106
"Esophagus","Age 75","Age <br/>85",0.195
"Esophagus","Age 75","Age <br/>90",0.252
"Esophagus","Age 75","Age <br/>95",0.276
"Esophagus","Age 75","Age <br/>95+",0.285
"Esophagus","Age 80","Age <br/>5",
"Esophagus","Age 80","Age <br/>10",
"Esophagus","Age 80","Age <br/>15",
"Esophagus","Age 80","Age <br/>20",
"Esophagus","Age 80","Age <br/>25",
"Esophagus","Age 80","Age <br/>30",
"Esophagus","Age 80","Age <br/>35",
"Esophagus","Age 80","Age <br/>40",
"Esophagus","Age 80","Age <br/>45",
"Esophagus","Age 80","Age <br/>50",
"Esophagus","Age 80","Age <br/>55",
"Esophagus","Age 80","Age <br/>60",
"Esophagus","Age 80","Age <br/>65",
"Esophagus","Age 80","Age <br/>70",
"Esophagus","Age 80","Age <br/>75",
"Esophagus","Age 80","Age <br/>80",
"Esophagus","Age 80","Age <br/>85",0.107
"Esophagus","Age 80","Age <br/>90",0.174
"Esophagus","Age 80","Age <br/>95",0.204
"Esophagus","Age 80","Age <br/>95+",0.214
"Esophagus","Age 85","Age <br/>5",
"Esophagus","Age 85","Age <br/>10",
"Esophagus","Age 85","Age <br/>15",
"Esophagus","Age 85","Age <br/>20",
"Esophagus","Age 85","Age <br/>25",
"Esophagus","Age 85","Age <br/>30",
"Esophagus","Age 85","Age <br/>35",
"Esophagus","Age 85","Age <br/>40",
"Esophagus","Age 85","Age <br/>45",
"Esophagus","Age 85","Age <br/>50",
"Esophagus","Age 85","Age <br/>55",
"Esophagus","Age 85","Age <br/>60",
"Esophagus","Age 85","Age <br/>65",
"Esophagus","Age 85","Age <br/>70",
"Esophagus","Age 85","Age <br/>75",
"Esophagus","Age 85","Age <br/>80",
"Esophagus","Age 85","Age <br/>85",
"Esophagus","Age 85","Age <br/>90",0.091
"Esophagus","Age 85","Age <br/>95",0.131
"Esophagus","Age 85","Age <br/>95+",0.145
"Esophagus","Age 90","Age <br/>5",
"Esophagus","Age 90","Age <br/>10",
"Esophagus","Age 90","Age <br/>15",
"Esophagus","Age 90","Age <br/>20",
"Esophagus","Age 90","Age <br/>25",
"Esophagus","Age 90","Age <br/>30",
"Esophagus","Age 90","Age <br/>35",
"Esophagus","Age 90","Age <br/>40",
"Esophagus","Age 90","Age <br/>45",
"Esophagus","Age 90","Age <br/>50",
"Esophagus","Age 90","Age <br/>55",
"Esophagus","Age 90","Age <br/>60",
"Esophagus","Age 90","Age <br/>65",
"Esophagus","Age 90","Age <br/>70",
"Esophagus","Age 90","Age <br/>75",
"Esophagus","Age 90","Age <br/>80",
"Esophagus","Age 90","Age <br/>85",
"Esophagus","Age 90","Age <br/>90",
"Esophagus","Age 90","Age <br/>95",0.066
"Esophagus","Age 90","Age <br/>95+",0.089
"Esophagus","Age 95","Age <br/>5",
"Esophagus","Age 95","Age <br/>10",
"Esophagus","Age 95","Age <br/>15",
"Esophagus","Age 95","Age <br/>20",
"Esophagus","Age 95","Age <br/>25",
"Esophagus","Age 95","Age <br/>30",
"Esophagus","Age 95","Age <br/>35",
"Esophagus","Age 95","Age <br/>40",
"Esophagus","Age 95","Age <br/>45",
"Esophagus","Age 95","Age <br/>50",
"Esophagus","Age 95","Age <br/>55",
"Esophagus","Age 95","Age <br/>60",
"Esophagus","Age 95","Age <br/>65",
"Esophagus","Age 95","Age <br/>70",
"Esophagus","Age 95","Age <br/>75",
"Esophagus","Age 95","Age <br/>80",
"Esophagus","Age 95","Age <br/>85",
"Esophagus","Age 95","Age <br/>90",
"Esophagus","Age 95","Age <br/>95",
"Esophagus","Age 95","Age <br/>95+",0.054
"Colon and Rectum","Age 0","Age <br/>5",0.000
"Colon and Rectum","Age 0","Age <br/>10",0.001
"Colon and Rectum","Age 0","Age <br/>15",0.003
"Colon and Rectum","Age 0","Age <br/>20",0.007
"Colon and Rectum","Age 0","Age <br/>25",0.015
"Colon and Rectum","Age 0","Age <br/>30",0.030
"Colon and Rectum","Age 0","Age <br/>35",0.058
"Colon and Rectum","Age 0","Age <br/>40",0.109
"Colon and Rectum","Age 0","Age <br/>45",0.198
"Colon and Rectum","Age 0","Age <br/>50",0.355
"Colon and Rectum","Age 0","Age <br/>55",0.617
"Colon and Rectum","Age 0","Age <br/>60",0.928
"Colon and Rectum","Age 0","Age <br/>65",1.312
"Colon and Rectum","Age 0","Age <br/>70",1.788
"Colon and Rectum","Age 0","Age <br/>75",2.328
"Colon and Rectum","Age 0","Age <br/>80",2.918
"Colon and Rectum","Age 0","Age <br/>85",3.494
"Colon and Rectum","Age 0","Age <br/>90",3.928
"Colon and Rectum","Age 0","Age <br/>95",4.146
"Colon and Rectum","Age 0","Age <br/>95+",4.235
"Colon and Rectum","Age 5","Age <br/>5",
"Colon and Rectum","Age 5","Age <br/>10",0.001
"Colon and Rectum","Age 5","Age <br/>15",0.003
"Colon and Rectum","Age 5","Age <br/>20",0.007
"Colon and Rectum","Age 5","Age <br/>25",0.015
"Colon and Rectum","Age 5","Age <br/>30",0.030
"Colon and Rectum","Age 5","Age <br/>35",0.059
"Colon and Rectum","Age 5","Age <br/>40",0.110
"Colon and Rectum","Age 5","Age <br/>45",0.200
"Colon and Rectum","Age 5","Age <br/>50",0.358
"Colon and Rectum","Age 5","Age <br/>55",0.623
"Colon and Rectum","Age 5","Age <br/>60",0.937
"Colon and Rectum","Age 5","Age <br/>65",1.325
"Colon and Rectum","Age 5","Age <br/>70",1.806
"Colon and Rectum","Age 5","Age <br/>75",2.352
"Colon and Rectum","Age 5","Age <br/>80",2.948
"Colon and Rectum","Age 5","Age <br/>85",3.529
"Colon and Rectum","Age 5","Age <br/>90",3.968
"Colon and Rectum","Age 5","Age <br/>95",4.188
"Colon and Rectum","Age 5","Age <br/>95+",4.277
"Colon and Rectum","Age 10","Age <br/>5",
"Colon and Rectum","Age 10","Age <br/>10",
"Colon and Rectum","Age 10","Age <br/>15",0.002
"Colon and Rectum","Age 10","Age <br/>20",0.007
"Colon and Rectum","Age 10","Age <br/>25",0.014
"Colon and Rectum","Age 10","Age <br/>30",0.029
"Colon and Rectum","Age 10","Age <br/>35",0.058
"Colon and Rectum","Age 10","Age <br/>40",0.109
"Colon and Rectum","Age 10","Age <br/>45",0.200
"Colon and Rectum","Age 10","Age <br/>50",0.358
"Colon and Rectum","Age 10","Age <br/>55",0.623
"Colon and Rectum","Age 10","Age <br/>60",0.937
"Colon and Rectum","Age 10","Age <br/>65",1.326
"Colon and Rectum","Age 10","Age <br/>70",1.807
"Colon and Rectum","Age 10","Age <br/>75",2.353
"Colon and Rectum","Age 10","Age <br/>80",2.949
"Colon and Rectum","Age 10","Age <br/>85",3.531
"Colon and Rectum","Age 10","Age <br/>90",3.970
"Colon and Rectum","Age 10","Age <br/>95",4.190
"Colon and Rectum","Age 10","Age <br/>95+",4.280
"Colon and Rectum","Age 15","Age <br/>5",
"Colon and Rectum","Age 15","Age <br/>10",
"Colon and Rectum","Age 15","Age <br/>15",
"Colon and Rectum","Age 15","Age <br/>20",0.004
"Colon and Rectum","Age 15","Age <br/>25",0.012
"Colon and Rectum","Age 15","Age <br/>30",0.027
"Colon and Rectum","Age 15","Age <br/>35",0.056
"Colon and Rectum","Age 15","Age <br/>40",0.107
"Colon and Rectum","Age 15","Age <br/>45",0.198
"Colon and Rectum","Age 15","Age <br/>50",0.356
"Colon and Rectum","Age 15","Age <br/>55",0.621
"Colon and Rectum","Age 15","Age <br/>60",0.936
"Colon and Rectum","Age 15","Age <br/>65",1.325
"Colon and Rectum","Age 15","Age <br/>70",1.806
"Colon and Rectum","Age 15","Age <br/>75",2.353
"Colon and Rectum","Age 15","Age <br/>80",2.949
"Colon and Rectum","Age 15","Age <br/>85",3.532
"Colon and Rectum","Age 15","Age <br/>90",3.971
"Colon and Rectum","Age 15","Age <br/>95",4.191
"Colon and Rectum","Age 15","Age <br/>95+",4.281
"Colon and Rectum","Age 20","Age <br/>5",
"Colon and Rectum","Age 20","Age <br/>10",
"Colon and Rectum","Age 20","Age <br/>15",
"Colon and Rectum","Age 20","Age <br/>20",
"Colon and Rectum","Age 20","Age <br/>25",0.008
"Colon and Rectum","Age 20","Age <br/>30",0.023
"Colon and Rectum","Age 20","Age <br/>35",0.052
"Colon and Rectum","Age 20","Age <br/>40",0.103
"Colon and Rectum","Age 20","Age <br/>45",0.194
"Colon and Rectum","Age 20","Age <br/>50",0.352
"Colon and Rectum","Age 20","Age <br/>55",0.618
"Colon and Rectum","Age 20","Age <br/>60",0.934
"Colon and Rectum","Age 20","Age <br/>65",1.323
"Colon and Rectum","Age 20","Age <br/>70",1.806
"Colon and Rectum","Age 20","Age <br/>75",2.353
"Colon and Rectum","Age 20","Age <br/>80",2.952
"Colon and Rectum","Age 20","Age <br/>85",3.535
"Colon and Rectum","Age 20","Age <br/>90",3.976
"Colon and Rectum","Age 20","Age <br/>95",4.196
"Colon and Rectum","Age 20","Age <br/>95+",4.286
"Colon and Rectum","Age 25","Age <br/>5",
"Colon and Rectum","Age 25","Age <br/>10",
"Colon and Rectum","Age 25","Age <br/>15",
"Colon and Rectum","Age 25","Age <br/>20",
"Colon and Rectum","Age 25","Age <br/>25",
"Colon and Rectum","Age 25","Age <br/>30",0.015
"Colon and Rectum","Age 25","Age <br/>35",0.044
"Colon and Rectum","Age 25","Age <br/>40",0.096
"Colon and Rectum","Age 25","Age <br/>45",0.187
"Colon and Rectum","Age 25","Age <br/>50",0.346
"Colon and Rectum","Age 25","Age <br/>55",0.613
"Colon and Rectum","Age 25","Age <br/>60",0.930
"Colon and Rectum","Age 25","Age <br/>65",1.321
"Colon and Rectum","Age 25","Age <br/>70",1.805
"Colon and Rectum","Age 25","Age <br/>75",2.355
"Colon and Rectum","Age 25","Age <br/>80",2.955
"Colon and Rectum","Age 25","Age <br/>85",3.542
"Colon and Rectum","Age 25","Age <br/>90",3.984
"Colon and Rectum","Age 25","Age <br/>95",4.205
"Colon and Rectum","Age 25","Age <br/>95+",4.296
"Colon and Rectum","Age 30","Age <br/>5",
"Colon and Rectum","Age 30","Age <br/>10",
"Colon and Rectum","Age 30","Age <br/>15",
"Colon and Rectum","Age 30","Age <br/>20",
"Colon and Rectum","Age 30","Age <br/>25",
"Colon and Rectum","Age 30","Age <br/>30",
"Colon and Rectum","Age 30","Age <br/>35",0.029
"Colon and Rectum","Age 30","Age <br/>40",0.081
"Colon and Rectum","Age 30","Age <br/>45",0.173
"Colon and Rectum","Age 30","Age <br/>50",0.332
"Colon and Rectum","Age 30","Age <br/>55",0.600
"Colon and Rectum","Age 30","Age <br/>60",0.919
"Colon and Rectum","Age 30","Age <br/>65",1.312
"Colon and Rectum","Age 30","Age <br/>70",1.799
"Colon and Rectum","Age 30","Age <br/>75",2.351
"Colon and Rectum","Age 30","Age <br/>80",2.954
"Colon and Rectum","Age 30","Age <br/>85",3.544
"Colon and Rectum","Age 30","Age <br/>90",3.988
"Colon and Rectum","Age 30","Age <br/>95",4.210
"Colon and Rectum","Age 30","Age <br/>95+",4.301
"Colon and Rectum","Age 35","Age <br/>5",
"Colon and Rectum","Age 35","Age <br/>10",
"Colon and Rectum","Age 35","Age <br/>15",
"Colon and Rectum","Age 35","Age <br/>20",
"Colon and Rectum","Age 35","Age <br/>25",
"Colon and Rectum","Age 35","Age <br/>30",
"Colon and Rectum","Age 35","Age <br/>35",
"Colon and Rectum","Age 35","Age <br/>40",0.052
"Colon and Rectum","Age 35","Age <br/>45",0.144
"Colon and Rectum","Age 35","Age <br/>50",0.305
"Colon and Rectum","Age 35","Age <br/>55",0.575
"Colon and Rectum","Age 35","Age <br/>60",0.895
"Colon and Rectum","Age 35","Age <br/>65",1.290
"Colon and Rectum","Age 35","Age <br/>70",1.780
"Colon and Rectum","Age 35","Age <br/>75",2.336
"Colon and Rectum","Age 35","Age <br/>80",2.942
"Colon and Rectum","Age 35","Age <br/>85",3.535
"Colon and Rectum","Age 35","Age <br/>90",3.982
"Colon and Rectum","Age 35","Age <br/>95",4.205
"Colon and Rectum","Age 35","Age <br/>95+",4.297
"Colon and Rectum","Age 40","Age <br/>5",
"Colon and Rectum","Age 40","Age <br/>10",
"Colon and Rectum","Age 40","Age <br/>15",
"Colon and Rectum","Age 40","Age <br/>20",
"Colon and Rectum","Age 40","Age <br/>25",
"Colon and Rectum","Age 40","Age <br/>30",
"Colon and Rectum","Age 40","Age <br/>35",
"Colon and Rectum","Age 40","Age <br/>40",
"Colon and Rectum","Age 40","Age <br/>45",0.093
"Colon and Rectum","Age 40","Age <br/>50",0.255
"Colon and Rectum","Age 40","Age <br/>55",0.527
"Colon and Rectum","Age 40","Age <br/>60",0.849
"Colon and Rectum","Age 40","Age <br/>65",1.247
"Colon and Rectum","Age 40","Age <br/>70",1.741
"Colon and Rectum","Age 40","Age <br/>75",2.300
"Colon and Rectum","Age 40","Age <br/>80",2.912
"Colon and Rectum","Age 40","Age <br/>85",3.509
"Colon and Rectum","Age 40","Age <br/>90",3.959
"Colon and Rectum","Age 40","Age <br/>95",4.184
"Colon and Rectum","Age 40","Age <br/>95+",4.276
